Variable,Transformation_Type,Test-stats
Sensor10,yeo-johnson,0.2921470798758037
Sensor104,yeo-johnson,0.733359164306421
Sensor114,yeo-johnson,0.538865721226216
Sensor146,square-root,0.5407172328355045
Sensor152,yeo-johnson,0.5843600569273804
Sensor161,square-root,0.4514114828698439
Sensor164,square-root,0.2851235389005069
Sensor165,square-root,0.40689739508945877
Sensor166,square-root,0.5517047780483608
Sensor169,square-root,0.24257210576604393
Sensor176,yeo-johnson,0.6646973401986997
Sensor181,logarithmic,0.6008339859019998
Sensor2,yeo-johnson,0.6757523558628691
Sensor205,logarithmic,0.7510931570303683
Sensor206,square-root,0.45749951211791995
Sensor211,logarithmic,0.40684873631232676
Sensor219,logarithmic,0.425607738484473
Sensor224,yeo-johnson,0.5609076446085055
Sensor226,logarithmic,0.5395728066895344
Sensor239,square-root,0.4308767839831944
Sensor240,square-root,0.7525475170228901
Sensor251,yeo-johnson,0.5567090951808495
Sensor254,yeo-johnson,0.7808929149193773
Sensor287,yeo-johnson,0.7443742345915325
Sensor295,yeo-johnson,0.7304920315057188
Sensor296,square-root,0.4887957411269781
Sensor299,square-root,0.3826013048653749
Sensor300,square-root,0.47886241071273616
Sensor301,square-root,0.4827953040679631
Sensor303,square-root,0.4235952582066602
Sensor304,square-root,0.3557586823716292
Sensor322,logarithmic,0.6466741621513847
Sensor338,yeo-johnson,0.7787813194106548
Sensor339,yeo-johnson,0.7330542875076844
Sensor341,logarithmic,0.6144011229547459
Sensor342,square-root,0.3142972438945435
Sensor346,square-root,0.5615241860095921
Sensor349,logarithmic,0.43092148269795416
Sensor357,square-root,0.2990056798474825
Sensor364,logarithmic,0.5227189338824019
Sensor389,yeo-johnson,0.5093898056144326
Sensor392,yeo-johnson,0.6869350016252156
Sensor425,yeo-johnson,0.6402926596749694
Sensor432,square-root,0.40282972121065086
Sensor435,square-root,0.22231650936805636
Sensor436,square-root,0.3455211119107844
Sensor437,square-root,0.6893404553544542
Sensor438,logarithmic,0.7384616802582968
Sensor440,square-root,0.48838391881099597
Sensor447,yeo-johnson,0.6016737379729875
Sensor453,logarithmic,0.37209831782865876
Sensor461,logarithmic,0.6703851966801722
Sensor478,yeo-johnson,0.5139490635734774
Sensor491,logarithmic,0.44832270311121647
Sensor496,logarithmic,0.5318677459998753
Sensor498,logarithmic,0.5062068509217852
Sensor511,logarithmic,0.48770259384377823
Sensor523,yeo-johnson,0.5931066993659897
Sensor526,square-root,0.7337196876661665
Sensor62,yeo-johnson,0.6414466933996437
Sensor63,logarithmic,0.3659018504259848
Sensor73,logarithmic,0.4774540625114696
Sensor77,yeo-johnson,0.3595291077311913
Sensor81,yeo-johnson,0.7640174410795453
Sensor9,reciprocal,0.7022261482936756
